search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$9.74,Walmart,2026-02-03,9.74,25.6,oz,False,0.380469,National,Meat
Chicken Breast,"Walmart Perdue Harvestland, Free Range, Fresh Boneless Chicken Breast, 2.75-3.6 lb. Tray",2.75-3.6 lb. Tray,$15.36,Walmart,2026-02-03,15.36,44.0,oz,False,0.349091,National,Meat
Chicken Breast,"Walmart Perdue Harvestland, Free Range, Fresh Boneless Chicken Breasts, 1.3-1.9 lb. Tray",1.3-1.9 lb. Tray,$9.94,Walmart,2026-02-03,9.94,20.8,oz,False,0.477885,National,Meat
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$9.74,Walmart,2026-02-03,9.74,25.6,oz,False,0.380469,National,Meat
Chicken Breast,"Walmart Great Value All Natural Boneless Skinless Chicken Breasts, 3 lb (Frozen)",3 lb (Frozen),$9.94,Walmart,2026-02-03,9.94,48.0,oz,False,0.207083,National,Meat
White Bread,"Walmart Sara Lee Sandwich White Bread, 24 oz, Plain Sandwich Bread, Bag",Bag,$2.62,Walmart,2026-02-03,2.62,,,True,,National,Pantry
White Bread,"Walmart Bimbo Soft White Bread, 20 oz, White Bread, Bag",Bag,$1.98,Walmart,2026-02-03,1.98,,,True,,National,Pantry
White Bread,"Walmart Dave's Killer Bread White Bread Done Right Organic Bread Loaf, 24 oz, Shelf-Stable (24 ounce)",Shelf-Stable (24 ounce),$6.42,Walmart,2026-02-03,6.42,,,True,,National,Pantry
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-03,1.54,20.0,oz,False,0.077,National,Pantry
White Bread,"Walmart Wonder Bread Classic White Sandwich Bread, Sliced White Bread, 20 oz Loaf, Shelf-Stable",Shelf-Stable,$2.92,Walmart,2026-02-03,2.92,,,True,,National,Pantry
Spaghetti Pasta,Walmart Ronco 16 oz Spaghetti,,$1.58,Walmart,2026-02-03,1.58,,,True,,National,Pantry
Spaghetti Pasta,"Walmart Brami Spaghetti High Protein Pasta, Made in Italy, 21g Protein, High Fiber, Low Carb Vs. Regular Pasta Noodles, Durum Wheat Plus Lupini Beans, Bronze Cut Shelf-Stable Noodles, 14.5 oz Box",14.5 oz Box,$2.98,Walmart,2026-02-03,2.98,14.5,oz,False,0.205517,National,Pantry
Spaghetti Pasta,Walmart Carbe Diem! Spaghetti Pasta,,$3.78,Walmart,2026-02-03,3.78,,,True,,National,Pantry
